id,name,type,province_id
536,"Huyện Trảng Bom",Huyện,48
537,"Huyện Thống Nhất",Huyện,48
538,"Huyện Cẩm Mỹ",Huyện,48
539,"Huyện Long Thành",Huyện,48
540,"Huyện Xuân Lộc",Huyện,48
541,"Huyện Nhơn Trạch",Huyện,48
542,"Thành phố Vũng Tàu","Thành phố",49
543,"Thành phố Bà Rịa","Thành phố",49
544,"Huyện Châu Đức",Huyện,49
545,"Huyện Xuyên Mộc",Huyện,49
546,"Huyện Long Điền",Huyện,49
547,"Huyện Đất Đỏ",Huyện,49
548,"Thị xã Phú Mỹ","Thị xã",49
549,"Huyện Côn Đảo",Huyện,49
550,"Quận 1",Quận,50
551,"Quận 12",Quận,50
552,"Quận Gò Vấp",Quận,50
553,"Quận Bình Thạnh",Quận,50
554,"Quận Tân Bình",Quận,50
555,"Quận Tân Phú",Quận,50
556,"Quận Phú Nhuận",Quận,50
557,"Thành phố Thủ Đức","Thành phố",50
558,"Quận 3",Quận,50
559,"Quận 10",Quận,50
560,"Quận 11",Quận,50
561,"Quận 4",Quận,50
562,"Quận 5",Quận,50
563,"Quận 6",Quận,50
564,"Quận 8",Quận,50
565,"Quận Bình Tân",Quận,50
566,"Quận 7",Quận,50
567,"Huyện Củ Chi",Huyện,50
568,"Huyện Hóc Môn",Huyện,50
569,"Huyện Bình Chánh",Huyện,50
570,"Huyện Nhà Bè",Huyện,50
571,"Huyện Cần Giờ",Huyện,50
572,"Thành phố Tân An","Thành phố",51
573,"Thị xã Kiến Tường","Thị xã",51
574,"Huyện Tân Hưng",Huyện,51
575,"Huyện Vĩnh Hưng",Huyện,51
576,"Huyện Mộc Hóa",Huyện,51
577,"Huyện Tân Thạnh",Huyện,51
578,"Huyện Thạnh Hóa",Huyện,51
579,"Huyện Đức Huệ",Huyện,51
580,"Huyện Đức Hòa",Huyện,51
581,"Huyện Bến Lức",Huyện,51
582,"Huyện Thủ Thừa",Huyện,51
583,"Huyện Tân Trụ",Huyện,51
584,"Huyện Cần Đước",Huyện,51
585,"Huyện Cần Giuộc",Huyện,51
586,"Huyện Châu Thành",Huyện,51
587,"Thành phố Mỹ Tho","Thành phố",52
588,"Thị xã Gò Công","Thị xã",52
589,"Thị xã Cai Lậy","Thị xã",52
590,"Huyện Tân Phước",Huyện,52
591,"Huyện Cái Bè",Huyện,52
592,"Huyện Cai Lậy",Huyện,52
593,"Huyện Châu Thành",Huyện,52
594,"Huyện Chợ Gạo",Huyện,52
595,"Huyện Gò Công Tây",Huyện,52
596,"Huyện Gò Công Đông",Huyện,52
597,"Huyện Tân Phú Đông",Huyện,52
598,"Thành phố Bến Tre","Thành phố",53
599,"Huyện Châu Thành",Huyện,53
600,"Huyện Chợ Lách",Huyện,53
601,"Huyện Mỏ Cày Nam",Huyện,53
602,"Huyện Giồng Trôm",Huyện,53
603,"Huyện Bình Đại",Huyện,53
604,"Huyện Ba Tri",Huyện,53
605,"Huyện Thạnh Phú",Huyện,53
606,"Huyện Mỏ Cày Bắc",Huyện,53
607,"Thành phố Trà Vinh","Thành phố",54
608,"Huyện Càng Long",Huyện,54
609,"Huyện Cầu Kè",Huyện,54
610,"Huyện Tiểu Cần",Huyện,54
611,"Huyện Châu Thành",Huyện,54
612,"Huyện Cầu Ngang",Huyện,54
613,"Huyện Trà Cú",Huyện,54
614,"Huyện Duyên Hải",Huyện,54
615,"Thị xã Duyên Hải","Thị xã",54
616,"Thành phố Vĩnh Long","Thành phố",55
617,"Huyện Long Hồ",Huyện,55
618,"Huyện Mang Thít",Huyện,55
619,"Huyện  Vũng Liêm",Huyện,55
620,"Huyện Tam Bình",Huyện,55
621,"Thị xã Bình Minh","Thị xã",55
622,"Huyện Trà Ôn",Huyện,55
623,"Huyện Bình Tân",Huyện,55
624,"Thành phố Cao Lãnh","Thành phố",56
625,"Thành phố Sa Đéc","Thành phố",56
